country,year,control_total_patents
KR,1985,458.0
KR,1986,596.0
KR,1987,575.0
KR,1988,1181.0
KR,1989,2554.0
KR,1990,2553.0
KR,1991,3570.0
KR,1992,4545.0
KR,1993,5774.0
KR,1994,6575.0
KR,1995,8321.0
KR,1996,14497.0
KR,1997,35900.0
KR,1998,43314.0
KR,1999,22943.0
KR,2000,21833.0
KR,2001,30175.0
KR,2002,30525.0
KR,2003,35284.0
KR,2004,53419.0
KR,2005,89303.0
KR,2006,91645.0
KR,2007,61115.0
KR,2008,42129.0
KR,2009,51404.0
KR,2010,72258.0
KR,2011,84061.0
KR,2012,95667.0
KR,2013,97294.0
KR,2014,76319.0
KR,2015,82400.0
KR,2016,90847.0
KR,2017,89227.0
KR,2018,94852.0
KR,2019,103881.0
KR,2020,
MX,1985,41.0
MX,1986,67.0
MX,1987,256.0
MX,1988,194.0
MX,1989,132.0
MX,1990,129.0
MX,1991,268.0
MX,1992,343.0
MX,1993,288.0
MX,1994,148.0
MX,1995,116.0
MX,1996,112.0
MX,1997,141.0
MX,1998,120.0
MX,1999,113.0
MX,2000,118.0
MX,2001,138.0
MX,2002,122.0
MX,2003,162.0
MX,2004,131.0
MX,2005,135.0
MX,2006,201.0
MX,2007,197.0
MX,2008,213.0
MX,2009,229.0
MX,2010,245.0
MX,2011,290.0
MX,2012,312.0
MX,2013,305.0
MX,2014,410.0
MX,2015,423.0
MX,2016,407.0
MX,2017,457.0
MX,2018,438.0
MX,2019,397.0
MX,2020,
EG,1985,10.0
EG,1986,6.0
EG,1987,11.0
EG,1988,8.0
EG,1989,20.0
EG,1990,16.0
EG,1991,21.0
EG,1992,21.0
EG,1993,44.0
EG,1994,58.0
EG,1995,46.0
EG,1996,
EG,1997,16.0
EG,1998,38.0
EG,1999,53.0
EG,2000,57.0
EG,2001,118.0
EG,2002,90.0
EG,2003,64.0
EG,2004,49.0
EG,2005,58.0
EG,2006,80.0
EG,2007,86.0
EG,2008,56.0
EG,2009,38.0
EG,2010,61.0
EG,2011,92.0
EG,2012,86.0
EG,2013,66.0
EG,2014,91.0
EG,2015,73.0
EG,2016,96.0
EG,2017,160.0
EG,2018,
EG,2019,65.0
EG,2020,
JP,1985,51276.0
JP,1986,54087.0
JP,1987,47912.0
JP,1988,54743.0
JP,1989,50370.0
JP,1990,30453.0
JP,1991,78994.0
JP,1992,77311.0
JP,1993,72757.0
JP,1994,94804.0
JP,1995,187681.0
JP,1996,129937.0
JP,1997,125704.0
JP,1998,133960.0
JP,1999,112269.0
JP,2000,109375.0
JP,2001,108515.0
JP,2002,110835.0
JP,2003,112527.0
JP,2004,111088.0
JP,2005,126804.0
