1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,country,year,gdp_per_capita,polity_x,control_total_patents,4_Flood_total_count,4_Flood_granted_count,4_Flood_granted_family_ge_2_count,4_Flood_K_stock,total_deaths,total_affected,total_damages_adj,r10_total_deaths,r10_total_affected,r10_total_damages_adj,r9_total_deaths,r9_total_affected,r9_total_damages_adj,r8_total_deaths,r8_total_affected,r8_total_damages_adj,r7_total_deaths,r7_total_affected,r7_total_damages_adj,r6_total_deaths,r6_total_affected,r6_total_damages_adj,r5_total_deaths,r5_total_affected,r5_total_damages_adj,r4_total_deaths,r4_total_affected,r4_total_damages_adj,r3_total_deaths,r3_total_affected,r3_total_damages_adj,r2_total_deaths,r2_total_affected,r2_total_damages_adj,r1_total_deaths,r1_total_affected,r1_total_damages_adj,Total_count,Granted_count,Granted_family_ge_2_count,K_Stock,region,income_group,lpop,polity_y,low,middle,high,damage_cor,damage_gdp,combi,difmonth,abs_diff,dif_temp,drought,flood,disindex,disindexla,indexla,dindex,r10_lpop,r10_polity,r10_low,r10_middle,r10_high,r10_damage_cor,r10_damage_gdp,r10_combi,r10_difmonth,r10_abs_diff,r10_dif_temp,r10_drought,r10_flood,r10_disindex,r10_disindexla,r10_indexla,r10_dindex,r10_region,r10_income_group,population_density
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1985,10.151129651756827,0.5,9.943333070458252,18,6,3,4.575741375297279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3323.0,1680.0,1233.0,99.5680490109981,.,High income: OECD,11.260416,1.0,0,0,1,0.0,0.0,109.0,0.3260000096567613,37.894871,1.3218684,0,0.32600001,13.81275,0.0038655987,0.0084813097,115.74787,,,,,,,,,,,,,,,,,,,,222.50987597743
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1986,10.173287689149616,0.5,10.008297916888472,12,7,5,4.496303531000978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3538.0,1823.0,1385.0,110.38812047328187,.,High income: OECD,11.260784,1.0,0,0,1,0.0,0.0,96.0,0.6238665302208153,8.2143478,0.32634607,0,0.62386656,13.767804,0.00385302,0.0074703,101.95021,,,,,,,,,,,,,,,,,,,,222.611737748117
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1987,10.185675637545952,0.5,9.921720320797188,15,8,7,4.435357071427199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.0,1885.0,1477.0,113.7287642579106,.,High income: OECD,11.260846,1.0,0,0,1,0.0,0.0,89.0,0.4231177314627323,39.274445,0.33228117,0,0.42311773,12.227036,0.0034218249,0.0069137975,94.3554,,,,,,,,,,,,,,,,,,,,222.953971300089
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1988,10.218170549679582,0.5,9.991452641264772,26,15,11,4.464469296690204,6.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,3791.0,2007.0,1610.0,117.18639362842292,.,High income: OECD,11.264856,1.0,0,0,1,0.0,0.0,100.0,0.9857185233471776,23.339008,23.339008,0,0.98571855,16.255239,0.0045491471,0.0093955388,128.22473,112.647672,10.0,0.0,0.0,10.0,607.2829551696777,0.0611423866,985.6,6.431678800919569,214.3012712,60.53294634,0.0,6.4316789,139.570863,0.0390599208,0.0804082977,1097.36463,,,223.826709248704
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1989,10.248662702621273,-39.0,9.842303399211133,19,8,6,4.406642117765459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,3896.0,2024.0,1608.0,120.10180930645082,.,High income: OECD,11.272698,1.0,0,0,1,0.0,0.0,104.9,0.505996162079865,15.982672,15.982672,0,0.50599617,16.524981,0.0046246364,0.0093196221,127.18867,112.654864,10.0,0.0,0.0,10.0,567.6829223632812,0.055744935,1008.5,6.469310845753768,199.4694752,75.06061504,0.0,6.46931095,145.106024,0.0406089762,0.0833074053,1136.929933,,,225.564354251998
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1990,10.29125885730878,-22.666666666666668,9.292012520620208,31,17,13,4.464120594182495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,6.0,3500.0,0.0,0.0,0.0,0.0,4413.0,2112.0,1821.0,122.79313138612892,.,High income: OECD,11.282006,1.0,0,0,1,3206.685039520264,0.20735653,104.9,0.7596761460456034,16.237968,16.237968,0,0.75967616,13.995361,0.0039167036,0.0091517502,124.89764,112.668594,10.0,0.0,0.0,10.0,3774.3679618835454,0.26310146500000003,1034.3,6.644047539760501,198.9921972,89.56177454,0.0,6.644047629999999,147.760995,0.0413519893,0.0862146167,1176.605825,,,227.517053819494
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1991,10.333793496946502,10.0,9.307557822691544,17,7,5,4.394053158239935,5.0,0.0,106419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3500.0,106419.0,11.0,3500.0,106419.0,11.0,3500.0,106419.0,11.0,3500.0,106419.0,11.0,3500.0,106419.0,5.0,0.0,106419.0,5.0,0.0,106419.0,4910.0,2457.0,2079.0,125.11256976432648,.,High income: OECD,11.289585,1.0,0,0,1,45.55298519134521,0.002726652,104.9,0.4479827446270089,9.2421246,9.2421246,0,0.44798276,12.263144,0.0034319302,0.0086162975,117.59011,112.688576,10.0,0.0,0.0,10.0,3819.9209470748906,0.26582811700000003,1049.8,6.100774901633183,197.6019518,98.30602719999999,0.0,6.10077499,146.296854,0.040942238799999996,0.08785602619999999,1199.0068099999999,,,229.18080944061
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1992,10.345238218878436,10.0,9.314520190885846,35,18,11,4.465594748216704,0.0,0.0,55519.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3500.0,161938.0,11.0,3500.0,161938.0,11.0,3500.0,161938.0,11.0,3500.0,161938.0,11.0,3500.0,161938.0,5.0,0.0,161938.0,5.0,0.0,161938.0,5.0,0.0,161938.0,6262.0,3311.0,2652.0,128.87537280712337,.,High income: OECD,11.297226,1.0,0,0,1,61.07622528076172,0.0034841462,99.1,0.5513210767509626,5.4669476,5.4669476,0,0.55132109,13.1763,0.0036874835,0.0080028595,109.21827,112.717049,10.0,0.0,0.0,10.0,3880.9971723556523,0.2693122632,1034.9,6.280173187014979,186.6952824,103.29211424,0.0,6.2801732900000005,145.183313,0.0406306064,0.08706213789999999,1188.1723,,,230.930020336264
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1993,10.3288477837283,10.0,9.370416319822818,56,30,28,4.645129375311507,5.0,100000.0,1074959.0,0.0,0.0,0.0,16.0,103500.0,1236897.0,16.0,103500.0,1236897.0,16.0,103500.0,1236897.0,16.0,103500.0,1236897.0,16.0,103500.0,1236897.0,10.0,100000.0,1236897.0,10.0,100000.0,1236897.0,10.0,100000.0,1236897.0,5.0,100000.0,1130478.0,7161.0,4125.0,3045.0,133.4417406816642,.,High income: OECD,11.303836,1.0,0,0,1,787.0087299346924,0.044352841,82.8,1.03492499868393,22.122583,22.122583,0,1.034925,13.816787,0.0038667282,0.0079617705,108.65751,112.754862,10.0,0.0,0.0,10.0,4668.005902290344,0.3136651042,998.6,6.361605249710328,183.5063494,100.10318124,0.0,6.36160535,140.661145,0.039365045,0.0840353714,1146.8648,,,232.459793194317
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,1994,10.349016561725596,10.0,9.344521553442204,43,21,14,4.696977012608171,2.0,0.0,687078.0,18.0,103500.0,1923975.0,18.0,103500.0,1923975.0,18.0,103500.0,1923975.0,18.0,103500.0,1923975.0,18.0,103500.0,1923975.0,12.0,100000.0,1923975.0,12.0,100000.0,1923975.0,12.0,100000.0,1923975.0,7.0,100000.0,1817556.0,7.0,100000.0,1762037.0,7797.0,4665.0,3461.0,138.27834618248104,.,High income: OECD,11.307304,1.0,0,0,1,1143.884094238281,0.061718397,74.0,0.6115556872093,25.109148,25.109148,0,0.6115557,12.610493,0.0035291379,0.0075267572,102.7207,112.79955700000001,10.0,0.0,0.0,10.0,5244.207074165344,0.31963856620000003,964.6,6.270159610084156,202.884115,119.48094684,0.0,6.27015973,138.449895,0.038746210499999996,0.082840003,1130.55111,,,233.274177193435
