year,country,count,granted_count,granted_family_ge_2_count
2020,SI,0,0,0
2020,ZA,0,0,0
2020,UA,0,0,0
2020,TH,0,0,0
2020,PH,0,0,0
2020,PA,0,0,0
2020,MY,0,0,0
2020,HU,0,0,0
2020,GR,0,0,0
2020,FI,0,0,0
2020,EG,0,0,0
2020,BR,0,0,0
2020,BG,0,0,0
2020,AR,0,0,0
1980,SI,0,0,0
1980,AR,804,784,77
1980,AU,945,613,443
1980,BE,1320,906,789
1980,BG,1607,1538,142
1980,BR,883,71,46
1980,CA,1839,1463,947
1980,CH,9114,5876,5188
1980,CN,19,16,4
1980,DE,46428,22002,20420
1980,DK,1299,729,632
1980,EG,4,2,0
1980,ES,1755,1514,475
1980,FI,1412,861,628
1980,FR,22178,15288,11058
1980,GB,9806,6287,5546
1980,GR,758,743,24
1980,HU,1642,1188,971
1980,IE,127,89,73
1980,IL,591,249,181
1980,IN,22,13,7
1980,IT,14417,7371,4266
1980,JP,21103,16999,14685
1980,KR,770,744,13
1980,MA,42,38,3
1980,MX,286,268,108
1980,MY,12,11,7
1980,NL,4317,2806,2621
1980,NO,633,373,271
1980,NZ,152,107,88
1980,PA,125,85,78
1980,PH,81,80,5
1980,PL,6042,4121,157
1980,RU,459,459,3
1980,SE,5601,2626,2358
1980,SG,14,6,4
1980,TH,4,1,0
1980,UA,18,18,0
1980,US,76711,61477,32194
1980,ZA,305,216,166
1981,AR,686,652,46
1981,AU,1311,768,601
1981,BE,1352,919,765
1981,BG,1712,1648,113
1981,BR,2669,72,47
1981,CA,1912,1524,945
1981,CH,8022,4798,4343
1981,CN,27,21,5
1981,DE,46549,21044,19390
1981,DK,1362,746,625
1981,EG,1,1,0
1981,ES,2112,1796,541
1981,FI,1781,1050,804
1981,FR,21603,14749,10540
1981,GB,11261,6746,5727
1981,GR,46,30,18
1981,HU,1637,1025,893
1981,IE,143,96,71
1981,IL,597,264,197
1981,IN,31,22,12
1981,IT,15815,7408,4095
1981,JP,24816,19095,16574
1981,KR,1326,1127,34
1981,MA,44,39,3
1981,MX,270,247,70
1981,MY,12,10,6
1981,NL,4395,2748,2586
1981,NO,689,412,331
1981,NZ,122,76,51
1981,PA,85,58,37
1981,PH,136,129,0
1981,PL,4156,2876,82
1981,RU,461,461,4
1981,SE,6021,2701,2461
1981,SG,81,22,6
1981,SI,2,2,2
1981,TH,3,0,0
1981,UA,19,19,0
1981,US,77425,59753,32299
1981,ZA,342,198,153
1982,AR,573,550,36
1982,AU,1327,689,561
1982,BE,1344,878,766
1982,BG,1609,1555,112
1982,BR,3468,75,54
1982,CA,2000,1502,987
1982,CH,8122,4647,4306
1982,CN,27,19,4
1982,DE,47639,21028,19417
1982,DK,1473,835,725
1982,EG,4,4,1
1982,ES,1891,1624,460
1982,FI,2649,1215,921
1982,FR,22384,14969,10980
1982,GB,11988,6916,5814
1982,GR,46,21,19
1982,HU,1945,1240,1023
1982,IE,144,96,78
1982,IL,624,264,197
1982,IN,22,15,4
1982,IT,15419,6653,4182
1982,JP,28796,21894,19662
1982,KR,3300,2948,91
1982,MA,46,45,3
1982,MX,228,199,53
1982,MY,7,3,2
1982,NL,4560,2588,2465
1982,NO,722,420,327
1982,NZ,141,89,77
1982,PA,95,53,44
1982,PH,285,278,3
1982,PL,4069,2826,101
1982,RU,591,587,7
1982,SE,6552,2670,2507
1982,SG,26,22,10
1982,SI,9,9,9
1982,TH,3,1,1
1982,UA,19,19,1
1982,US,78567,59252,32774
1982,ZA,336,210,171
1983,AR,247,215,18
1983,AU,1270,669,551
1983,BE,1351,809,704
1983,BG,1814,1740,129
1983,BR,4252,49,41
1983,CA,1990,1456,957
1983,CH,8066,4439,4196
1983,CN,21,13,4
1983,DE,46332,19134,17433
1983,DK,2053,809,697
1983,EG,1,1,1
1983,ES,1724,1462,484
1983,FI,2941,1219,933
1983,FR,22370,14797,10762
1983,GB,10819,6063,5571
1983,GR,15,4,3
1983,HU,1505,907,759
1983,IE,117,83,75
1983,IL,632,245,196
1983,IN,22,12,5
1983,IT,14847,6087,3880
1983,JP,27465,20556,18481
1983,KR,4274,4235,80
1983,MA,22,17,1
1983,MX,255,240,35
1983,MY,4,2,1
1983,NL,4751,2607,2456
1983,NO,707,417,343
1983,NZ,172,92,75
1983,PA,131,85,81
1983,PH,273,267,0
1983,PL,4340,3011,148
1983,RU,719,716,5
1983,SE,7386,2828,2637
1983,SG,16,13,10
1983,SI,6,6,6
1983,TH,2,1,1
1983,UA,16,16,0
1983,US,77824,56822,32794
1983,ZA,326,192,159
1984,AR,59,34,18
1984,AU,1582,775,652
1984,BE,1553,979,857
1984,BG,1794,1722,148
1984,BR,4170,60,46
1984,CA,2255,1686,1118
1984,CH,8506,4664,4434
1984,CN,26,15,7
1984,DE,51862,22019,20036
1984,DK,1792,772,684
1984,EG,7,7,5
1984,ES,2046,1765,521
1984,FI,3137,1378,1014
1984,FR,23251,15196,11032
1984,GB,11387,6355,5910
1984,GR,47,23,18
1984,HU,1661,1065,922
1984,IE,158,110,94
1984,IL,724,324,275
1984,IN,44,33,16
1984,IT,15349,6443,4158
1984,JP,32145,24115,21796
1984,KR,6353,6323,158
1984,MA,32,30,1
1984,MX,248,220,49
1984,MY,8,7,7
1984,NL,5212,2906,2757
1984,NO,876,491,411
1984,NZ,176,100,82
1984,PA,96,53,47
1984,PH,248,248,1
1984,PL,4696,3102,186
1984,RU,933,931,4
1984,SE,7226,2866,2690
1984,SG,28,19,15
1984,SI,14,13,12
1984,TH,2,0,0
1984,UA,29,29,0
1984,US,82358,59462,33887
1984,ZA,355,204,173
1985,AR,76,41,10
1985,AU,1831,921,751
1985,BE,1709,1073,956
1985,BG,1890,1768,152
1985,BR,4221,78,54
1985,CA,2500,1869,1271
1985,CH,8963,5095,4749
1985,CN,726,658,29
1985,DE,53440,23680,21439
1985,DK,1683,835,729
1985,EG,1,0,0
1985,ES,2562,2241,668
1985,FI,3394,1570,1172
